tenure,MonthlyCharges,Contract,TotalCharges
6,95.75,Month-to-month,573.75
1,40.2,Month-to-month,40.2
46,90.95,One year,4236.6
20,108.2,Month-to-month,2203.7
20,85.8,Month-to-month,1727.5
37,76.25,Month-to-month,2841.55
24,19.7,Two year,494.05
29,94.65,Month-to-month,2649.15
21,104.4,Month-to-month,2200.25
19,103.3,Month-to-month,2012.7
54,80.6,Two year,4299.95
2,19.3,One year,28.3
27,104.3,Month-to-month,2867.75
46,60.75,Two year,2893.4
18,19.65,Month-to-month,391.7
52,19.85,Two year,1070.5
43,56.15,Month-to-month,2499.3
3,19.95,Month-to-month,58.0
4,44.8,Month-to-month,176.2
6,83.55,Month-to-month,477.55
35,100.8,Month-to-month,3437.5
68,60.3,Two year,4109.0
5,96.25,Month-to-month,512.45
3,44.6,Month-to-month,122.7
4,72.75,Month-to-month,317.75
4,25.3,Two year,116.95
2,79.7,Month-to-month,165.0
40,110.1,Month-to-month,4469.1
10,95.1,Month-to-month,865.1
24,80.5,Month-to-month,2088.45
72,107.4,Two year,7748.75
24,99.3,Month-to-month,2431.35
72,86.6,Two year,6350.5
1,52.2,Month-to-month,52.2
18,88.35,Month-to-month,1639.3
4,40.05,Month-to-month,162.45
36,90.85,Month-to-month,3186.7
11,75.25,Month-to-month,888.65
1,69.55,Month-to-month,69.55
42,79.9,Month-to-month,3313.4
16,85.35,Month-to-month,1375.15
50,114.35,One year,5791.1
1,24.6,Month-to-month,24.6
38,19.95,Two year,756.4
24,79.85,Month-to-month,1857.75
31,59.7,Month-to-month,1825.5
8,19.45,Month-to-month,159.2
43,107.55,One year,4533.9
57,70.35,Two year,4124.65
13,20.85,Two year,272.35
40,89.6,One year,3488.15
23,19.65,One year,436.9
72,83.6,Two year,5959.3
55,84.25,One year,4589.85
48,111.45,Month-to-month,5315.1
1,74.95,Month-to-month,74.95
36,97.35,Month-to-month,3457.9
11,69.35,Month-to-month,712.25
1,84.6,Month-to-month,84.6
53,98.4,Month-to-month,5149.5
70,51.05,One year,3635.15
12,95.7,One year,1184.0
22,94.7,Month-to-month,1914.9
55,69.05,Two year,3842.6
28,64.45,Month-to-month,1867.6
58,19.85,Two year,1158.85
19,19.7,One year,386.5
19,95.15,Month-to-month,1789.25
31,72.45,Month-to-month,2156.25
13,89.4,Month-to-month,1132.35
1,20.2,Month-to-month,20.2
1,70.65,Month-to-month,70.65
18,73.55,Month-to-month,1359.45
13,19.95,One year,257.0
2,20.3,One year,31.9
70,64.95,Two year,4523.25
44,19.35,Two year,847.25
4,20.85,Month-to-month,62.9
65,76.15,Two year,4929.55
71,99.65,One year,7181.25
64,53.85,One year,3399.85
28,92.35,Month-to-month,2602.9
16,96.4,Month-to-month,1581.2
70,114.2,Two year,7723.9
39,81.5,Month-to-month,3107.3
19,45.0,Month-to-month,865.85
60,104.95,Month-to-month,6236.75
51,90.35,One year,4614.55
56,110.5,One year,6139.5
66,105.0,Month-to-month,7133.25
58,55.5,Two year,3166.9
69,59.1,One year,4134.7
27,56.15,Month-to-month,1439.35
1,48.6,Month-to-month,48.6
6,20.0,Month-to-month,109.2
7,25.05,Month-to-month,189.95
8,69.7,Month-to-month,560.85
15,69.5,Month-to-month,1071.4
9,20.4,Month-to-month,181.8
12,67.25,Month-to-month,832.3
25,71.05,Month-to-month,1837.7
28,81.05,Month-to-month,2227.1
49,100.65,Two year,4917.75
57,44.85,Month-to-month,2572.95
11,20.55,One year,184.95
37,95.25,Month-to-month,3314.15
40,101.3,Month-to-month,4113.1
54,45.2,Two year,2460.55
12,85.05,Month-to-month,999.8
4,55.3,Month-to-month,238.5
66,103.15,One year,7031.3
70,59.5,Two year,4144.8
1,74.9,Month-to-month,74.9
58,103.25,One year,6017.65
47,86.05,Month-to-month,3865.6
4,78.85,Month-to-month,292.8
57,59.3,One year,3274.35
15,94.0,Month-to-month,1505.45
24,89.55,Month-to-month,2259.35
20,19.35,One year,433.75
61,98.3,One year,6066.55
16,49.95,Month-to-month,810.2
72,97.7,Two year,6869.7
14,39.7,Two year,692.35
2,46.05,Month-to-month,80.35
64,91.8,Month-to-month,5960.5
30,19.8,One year,576.65
64,89.45,One year,5692.65
61,111.6,Two year,6876.05
50,84.15,One year,4164.4
47,94.9,One year,4615.25
51,59.9,One year,3043.6
37,91.2,Month-to-month,3382.3
64,97.0,One year,6430.9
60,60.2,Month-to-month,3582.4
1,20.05,Month-to-month,20.05
14,81.95,Two year,1181.75
1,76.0,Month-to-month,76.0
17,88.25,Month-to-month,1460.65
63,104.5,One year,6590.8
72,26.25,Two year,1988.05
29,100.55,One year,2830.45
18,61.5,One year,1087.45
38,70.15,One year,2497.35
26,19.3,One year,504.2
70,104.8,One year,7308.95
7,79.3,Month-to-month,523.15
22,20.85,One year,450.65
25,54.75,One year,1266.35
33,39.1,One year,1309.0
27,95.55,Month-to-month,2510.2
15,74.9,Month-to-month,1107.25
41,24.85,One year,962.25
38,95.0,One year,3605.6
44,89.2,Month-to-month,4040.2
66,19.75,Two year,1344.5
19,20.85,Two year,467.5
17,90.2,Month-to-month,1454.15
7,74.9,Month-to-month,490.55
21,71.7,One year,1497.05
61,94.1,Two year,5638.3
4,50.7,Month-to-month,214.55
58,75.2,One year,4300.8
21,55.95,One year,1157.05
60,19.95,Two year,1189.9
43,25.7,Two year,1188.2
36,85.25,Month-to-month,3132.75
57,55.0,Month-to-month,3094.05
24,54.95,Month-to-month,1348.5
68,105.25,Two year,7173.15
72,94.65,Month-to-month,6747.35
9,39.55,One year,373.0
66,79.5,Two year,5196.1
8,73.5,Month-to-month,632.2
50,103.05,One year,5153.5
10,75.75,Month-to-month,777.3
54,30.4,Month-to-month,1621.35
1,79.65,Month-to-month,79.65
71,108.55,Two year,7616.0
4,101.15,Month-to-month,385.9
33,54.65,Month-to-month,1665.2
10,86.65,Month-to-month,856.65
72,49.2,Two year,3580.95
1,20.85,Month-to-month,20.85
67,25.6,Two year,1790.35
22,80.0,Month-to-month,1706.45
62,96.75,One year,6125.4
21,41.9,Month-to-month,840.1
68,111.75,Two year,7511.3
7,98.05,Month-to-month,713.0
58,79.8,Month-to-month,4526.85
23,83.75,Month-to-month,1849.95
71,23.95,Two year,1756.2
41,86.2,One year,3339.05
0,56.05,Two year,0.0
61,62.15,Two year,3778.85
46,99.65,Two year,4630.2
6,20.7,Month-to-month,112.75
7,94.25,Month-to-month,669.0
21,73.7,Month-to-month,1558.7
13,95.05,Month-to-month,1290.0
22,83.3,Month-to-month,1845.9
26,69.05,Month-to-month,1815.65
4,42.4,Month-to-month,146.4
63,19.5,Two year,1215.1
5,79.9,Month-to-month,343.95
6,19.7,Month-to-month,129.55
55,94.45,Month-to-month,5073.1
51,76.4,One year,3966.3
56,68.75,One year,3808.0
18,20.1,One year,401.85
72,105.6,Two year,7581.5
19,49.6,Month-to-month,962.9
22,96.7,Month-to-month,2082.95
41,35.45,One year,1391.65
5,19.45,Month-to-month,86.05
57,74.3,Two year,4166.35
29,101.45,Month-to-month,2948.6
33,93.8,One year,3124.5
72,97.85,Two year,6841.3
31,88.65,Month-to-month,2683.2
52,104.45,One year,5481.25
35,20.05,One year,746.75
7,19.85,Two year,144.15
22,54.7,Month-to-month,1178.75
6,74.9,Month-to-month,469.8
60,37.7,Two year,2288.7
24,20.25,One year,439.75
31,73.55,Month-to-month,2094.65
26,85.75,Month-to-month,2146.5
1,69.9,Month-to-month,69.9
40,19.6,Two year,808.95
10,20.05,Month-to-month,218.5
70,19.2,Two year,1401.4
3,55.15,Month-to-month,159.15
46,85.0,Month-to-month,3969.4
59,110.15,One year,6448.05
48,70.65,Month-to-month,3545.05
59,19.35,Two year,1099.6
29,30.6,Month-to-month,856.35
8,19.65,Month-to-month,164.3
9,19.75,Two year,210.65
8,58.2,One year,469.25
28,89.95,Month-to-month,2625.55
20,76.0,One year,1588.75
56,104.75,One year,5510.65
49,40.65,Month-to-month,2070.75
5,88.9,Month-to-month,454.15
18,90.0,Month-to-month,1527.35
71,90.4,Two year,6668.05
20,89.0,Month-to-month,1820.45
40,42.35,One year,1716.45
18,60.6,Month-to-month,1156.35
38,20.3,One year,749.35
67,105.6,One year,7112.15
17,55.35,Month-to-month,920.5
1,35.25,Month-to-month,35.25
68,25.05,Two year,1629.2
35,83.15,Month-to-month,2848.45
3,75.8,Month-to-month,246.3
8,90.25,Month-to-month,743.75
29,70.9,One year,1964.6
2,34.7,Month-to-month,62.25
53,73.8,Month-to-month,4003.85
1,25.3,Month-to-month,25.3
7,75.15,Month-to-month,525.0
4,20.05,Month-to-month,85.5
29,76.0,Month-to-month,2215.25
3,75.1,Month-to-month,270.7
1,25.8,Month-to-month,25.8
7,35.3,One year,264.8
52,111.25,One year,5916.45
72,91.95,Two year,6614.9
55,96.75,Month-to-month,5238.9
1,19.65,Month-to-month,19.65
6,19.55,Two year,124.45
29,20.2,Two year,558.8
42,48.15,Two year,2032.3
30,40.35,One year,1187.05
1,50.9,Month-to-month,50.9
72,86.05,Two year,6309.65
4,50.7,Month-to-month,151.3
1,24.7,Month-to-month,24.7
1,68.65,Month-to-month,68.65
1,74.25,Month-to-month,74.25
62,80.4,Month-to-month,4981.15
15,101.25,Month-to-month,1457.25
1,19.2,Month-to-month,19.2
68,20.05,Two year,1386.9
7,75.35,Month-to-month,564.65
72,88.05,Two year,6520.8
72,86.65,Two year,6094.25
30,94.1,Month-to-month,2804.45
1,84.5,Month-to-month,84.5
39,41.15,One year,1700.9
62,92.3,One year,5731.45
53,108.95,One year,5718.2
66,104.05,One year,6890.0
59,88.75,Month-to-month,5348.65
15,95.7,Month-to-month,1451.1
9,95.5,Month-to-month,829.1
32,30.15,One year,927.65
17,64.7,Month-to-month,1093.1
55,55.25,Two year,3119.9
17,25.65,Month-to-month,440.2
69,87.3,One year,6055.55
66,74.6,Two year,4798.4
16,74.45,Month-to-month,1261.35
70,80.15,Two year,5600.15
50,19.35,One year,1033.0
3,20.0,Month-to-month,61.7
17,65.75,Month-to-month,1111.2
20,96.8,Month-to-month,1826.7
71,19.7,Two year,1301.1
34,105.1,Month-to-month,3634.8
43,25.1,Two year,1070.15
50,101.9,One year,5265.5
41,101.6,One year,3930.55
54,79.85,Month-to-month,4308.25
64,19.45,Two year,1225.65
31,54.35,Month-to-month,1647.0
11,78.5,Month-to-month,874.2
4,85.65,Month-to-month,321.65
21,53.15,Two year,1183.2
35,24.3,Two year,821.6
58,99.25,One year,5846.65
20,20.05,Two year,400.0
60,25.0,Two year,1505.05
41,20.25,One year,865.0
15,51.1,Month-to-month,711.15
1,44.3,Month-to-month,44.3
66,99.5,Month-to-month,6710.5
1,69.25,Month-to-month,69.25
2,44.5,Month-to-month,90.05
32,84.15,Month-to-month,2585.95
72,78.45,Two year,5682.25
62,96.1,One year,6001.45
9,79.55,Month-to-month,718.55
4,86.05,Month-to-month,308.1
30,82.05,Month-to-month,2570.2
40,104.5,Month-to-month,4036.85
33,20.15,One year,682.15
63,80.0,One year,5040.2
64,19.8,One year,1336.65
5,96.55,Month-to-month,500.1
7,20.0,Month-to-month,137.6
10,79.85,Month-to-month,887.35
63,100.55,Month-to-month,6215.35
20,39.4,Two year,825.4
38,84.1,One year,3187.65
66,108.1,One year,7181.95
13,91.1,Month-to-month,1135.7
24,66.3,Month-to-month,1559.45
23,104.45,Month-to-month,2184.85
32,91.35,Month-to-month,2896.55
51,60.15,One year,3077.0
40,19.1,Two year,780.1
22,59.05,Month-to-month,1253.5
1,70.45,Month-to-month,70.45
6,89.35,Month-to-month,567.8
1,19.65,Month-to-month,19.65
4,20.5,One year,79.05
60,105.9,Month-to-month,6396.45
72,64.95,Two year,4546.0
42,60.15,One year,2421.6
2,62.15,Month-to-month,113.1
69,60.25,Two year,4055.5
2,86.0,Month-to-month,165.45
1,36.45,Month-to-month,36.45
31,66.4,Month-to-month,2019.8
16,20.5,Two year,290.55
15,19.6,Month-to-month,299.4
2,94.2,Month-to-month,193.8
17,92.55,Month-to-month,1614.7
6,94.5,Month-to-month,575.45
61,59.8,Month-to-month,3641.5
1,19.15,Month-to-month,19.15
19,87.7,One year,1725.95
44,54.05,Two year,2375.2
70,111.95,Two year,7795.95
63,25.25,Two year,1573.05
58,44.1,One year,2413.05
53,74.1,One year,3833.95
59,44.3,Month-to-month,2666.75
69,104.05,One year,7262.0
26,49.15,Month-to-month,1237.3
23,57.2,One year,1423.35
42,54.55,Month-to-month,2455.05
1,50.55,Month-to-month,50.55
6,47.95,Month-to-month,305.1
58,20.8,Two year,1212.25
3,101.55,Month-to-month,298.35
41,19.85,Two year,810.45
58,61.05,One year,3478.75
51,93.8,Month-to-month,4750.95
64,111.15,Month-to-month,6953.4
19,25.6,Two year,485.9
60,79.05,Month-to-month,4663.4
69,114.35,Two year,7665.8
3,80.7,Month-to-month,239.45
7,95.0,Month-to-month,655.5
19,73.2,Month-to-month,1441.1
1,77.15,Month-to-month,77.15
62,23.65,Two year,1416.75
1,49.95,Month-to-month,49.95
1,73.55,Month-to-month,73.55
28,59.55,Month-to-month,1646.45
69,92.45,Two year,6460.55
30,79.65,Month-to-month,2365.15
40,39.3,Month-to-month,1637.4
1,19.85,Month-to-month,19.85
45,100.85,Month-to-month,4740.0
22,78.65,One year,1663.75
47,20.05,Two year,1016.7
2,20.0,Month-to-month,40.9
13,35.1,Month-to-month,446.1
20,18.9,Month-to-month,347.65
48,19.25,Two year,855.1
67,100.9,One year,6733.15
70,99.35,Two year,6944.5
64,99.0,Two year,6375.8
34,97.65,Month-to-month,3207.55
72,90.95,Two year,6468.6
23,69.5,Month-to-month,1652.1
15,89.0,Month-to-month,1288.3
22,101.35,Month-to-month,2317.1
41,70.2,One year,2894.55
68,82.45,Two year,5646.6
70,106.5,One year,7397.0
71,86.85,Two year,6263.8
71,85.45,Two year,6029.9
1,44.45,Month-to-month,44.45
1,55.0,Month-to-month,55.0
3,20.85,Month-to-month,60.65
40,93.4,Month-to-month,3756.4
3,50.6,Month-to-month,155.35
67,26.1,Two year,1759.55
18,75.4,Month-to-month,1380.4
20,20.05,Month-to-month,406.05
3,74.25,Month-to-month,210.3
71,116.1,Two year,8310.55
25,34.0,Month-to-month,853.0
32,90.95,Month-to-month,2897.95
46,20.2,Two year,917.45
68,19.35,Two year,1292.65
48,79.65,Two year,3870.3
2,70.4,Month-to-month,147.15
56,93.15,One year,5253.95
5,78.75,Month-to-month,412.1
3,74.95,Month-to-month,212.4
64,92.85,One year,5980.75
47,90.5,Two year,4318.35
63,67.25,Two year,4234.15
27,19.4,Month-to-month,529.8
47,70.55,Month-to-month,3309.25
59,24.45,Two year,1493.1
4,18.85,Month-to-month,84.2
72,114.9,Two year,8496.7
13,55.15,One year,742.9
66,108.45,One year,7076.35
42,20.65,One year,958.1
10,19.95,Month-to-month,187.75
15,74.45,Month-to-month,1145.7
45,95.2,Two year,4285.8
48,73.85,One year,3581.4
1,25.25,Month-to-month,25.25
27,76.1,Month-to-month,2093.4
5,19.35,Month-to-month,126.05
23,86.8,One year,1940.8
11,75.2,Month-to-month,775.3
35,102.05,Month-to-month,3452.55
67,88.8,One year,5903.15
33,74.75,One year,2453.3
72,114.0,Two year,8093.15
67,109.7,One year,7344.45
33,20.05,Month-to-month,669.45
47,58.9,One year,2813.05
13,98.0,Month-to-month,1237.85
18,83.25,Month-to-month,1611.15
72,112.1,Two year,7965.95
11,89.7,Month-to-month,1047.7
7,44.4,Month-to-month,265.8
59,99.45,Month-to-month,5623.7
32,100.4,Month-to-month,3217.65
67,25.25,Two year,1733.15
51,87.55,One year,4475.9
59,94.05,One year,5483.9
48,39.4,Two year,1978.65
1,70.55,Month-to-month,70.55
23,19.3,One year,486.2
38,94.65,Month-to-month,3624.3
19,19.9,One year,357.7
3,76.05,Month-to-month,231.8
58,98.9,Month-to-month,5780.7
2,50.2,Month-to-month,109.25
5,75.15,Month-to-month,392.65
72,101.3,Two year,7261.25
44,109.8,One year,4860.35
16,19.7,Month-to-month,342.4
12,50.95,Month-to-month,605.75
6,89.5,Month-to-month,573.3
72,108.1,Two year,7774.05
23,24.8,One year,615.35
38,70.45,One year,2597.6
47,95.2,One year,4563.0
54,20.05,Two year,1102.4
15,68.6,Month-to-month,1108.6
20,94.1,Month-to-month,1782.4
16,73.25,Month-to-month,1195.75
1,69.35,Month-to-month,69.35
1,24.8,Month-to-month,24.8
46,19.95,Two year,907.05
69,97.65,Two year,6743.55
49,84.5,Month-to-month,4254.85
53,54.9,One year,3045.75
7,19.45,One year,136.75
42,50.25,Month-to-month,2203.65
17,50.3,Month-to-month,846.8
2,81.5,Month-to-month,162.55
72,104.15,One year,7303.05
28,20.5,Month-to-month,563.05
1,50.35,Month-to-month,50.35
15,86.2,Month-to-month,1270.2
67,107.05,One year,7142.5
11,99.5,Month-to-month,1056.95
56,103.2,Two year,5873.75
22,55.1,Month-to-month,1253.15
19,34.3,Month-to-month,577.15
44,19.6,Month-to-month,780.25
10,35.75,Month-to-month,389.8
18,71.1,Month-to-month,1247.75
30,19.05,Two year,637.55
26,35.75,Month-to-month,1022.5
58,109.45,Two year,6144.55
1,29.7,Month-to-month,29.7
9,66.25,Month-to-month,620.55
50,82.5,One year,4179.1
46,30.75,One year,1489.3
3,44.75,Month-to-month,148.05
11,51.1,Month-to-month,531.15
37,70.35,Month-to-month,2552.9
22,54.2,Month-to-month,1152.7
67,25.6,Two year,1784.9
1,20.2,Month-to-month,20.2
19,56.1,Month-to-month,1033.9
9,74.55,Month-to-month,622.9
70,98.7,Two year,6858.9
1,50.15,Month-to-month,50.15
39,41.1,Month-to-month,1597.05
2,70.7,Month-to-month,140.7
49,43.8,Month-to-month,2106.05
7,64.3,Month-to-month,445.95
1,45.85,Month-to-month,45.85
61,101.05,Two year,5971.25
1,42.9,Month-to-month,42.9
40,91.55,Month-to-month,3673.6
71,24.45,Two year,1681.6
24,89.85,Month-to-month,2165.05
14,50.45,Month-to-month,765.45
61,94.2,Month-to-month,5895.45
44,74.85,One year,3268.05
70,19.8,Two year,1397.65
18,74.15,Month-to-month,1345.75
12,73.75,Month-to-month,871.4
66,107.35,One year,7051.95
61,20.55,Two year,1305.95
42,85.9,Month-to-month,3729.75
54,94.75,One year,5121.75
3,20.25,Month-to-month,61.45
69,53.65,One year,3804.4
3,19.6,Month-to-month,55.25
7,74.9,Month-to-month,541.15
57,19.9,Two year,1115.6
14,74.95,Month-to-month,1036.75
11,41.6,One year,470.6
4,19.7,One year,117.8
43,94.35,One year,3921.3
62,74.3,One year,4698.05
12,96.0,Month-to-month,1062.1
11,20.45,Month-to-month,250.8
19,59.8,Month-to-month,1130.85
44,106.05,One year,4510.8
11,78.1,Month-to-month,864.85
72,80.8,Two year,5728.55
43,104.6,Two year,4759.85
3,19.8,Month-to-month,58.15
5,80.7,Month-to-month,374.8
2,29.85,Month-to-month,75.6
68,85.5,One year,5696.6
33,94.5,Month-to-month,3105.55
11,35.8,Month-to-month,363.15
69,89.95,Month-to-month,6143.15
66,105.2,Month-to-month,6936.85
29,75.55,Two year,2054.4
8,44.65,Month-to-month,369.15
72,64.45,Two year,4641.1
8,45.45,Month-to-month,411.75
32,104.05,One year,3416.85
56,20.05,Two year,1090.1
10,80.7,Month-to-month,788.8
44,61.5,One year,2722.2
23,83.8,Month-to-month,1900.25
4,48.25,Month-to-month,202.25
36,51.05,Month-to-month,1815.0
47,83.35,Month-to-month,4065.0
2,30.25,Month-to-month,63.75
52,20.4,One year,1090.65
5,90.8,Month-to-month,455.5
64,65.8,One year,4068.0
2,50.3,Month-to-month,92.75
8,20.25,Two year,174.65
1,70.15,Month-to-month,70.15
1,44.65,Month-to-month,44.65
60,60.5,Two year,3694.45
20,90.7,Month-to-month,1781.35
22,51.1,Month-to-month,1232.9
54,70.7,One year,3770.0
1,80.55,Month-to-month,80.55
13,19.3,One year,259.65
24,96.55,Two year,2263.45
6,74.1,Month-to-month,450.9
38,102.6,Month-to-month,4009.2
12,85.15,One year,979.05
26,44.65,Month-to-month,1156.55
6,40.55,Two year,217.5
67,87.4,One year,5918.8
62,103.75,One year,6383.35
50,39.45,Month-to-month,2021.35
72,65.65,Two year,4664.5
31,98.9,Month-to-month,2911.3
72,92.0,Two year,6782.15
51,44.45,Month-to-month,2181.55
1,20.4,Month-to-month,20.4
60,115.25,Two year,6758.45
24,19.75,Two year,498.1
2,80.65,Month-to-month,144.15
4,77.95,Month-to-month,305.55
67,65.65,Two year,4322.85
69,106.4,One year,7251.9
1,69.55,Month-to-month,69.55
67,24.85,Two year,1583.5
1,89.9,Month-to-month,89.9
67,83.85,Month-to-month,5588.8
27,86.45,Month-to-month,2401.05
41,106.5,Month-to-month,4282.4
64,109.2,Two year,6741.15
1,69.6,Month-to-month,69.6
6,44.75,Month-to-month,270.95
72,65.25,Two year,4478.85
57,70.1,One year,3913.3
70,72.95,Two year,5265.55
10,85.55,Month-to-month,851.75
1,55.7,Month-to-month,55.7
71,89.85,Two year,6293.45
3,40.3,Month-to-month,92.5
63,24.2,Two year,1618.2
25,74.6,Month-to-month,1797.75
62,24.4,Two year,1413.0
55,94.75,One year,5276.1
52,79.2,Two year,4016.3
16,81.0,Month-to-month,1312.15
29,87.8,Month-to-month,2621.75
2,35.1,Month-to-month,68.75
8,70.7,Month-to-month,553.4
5,85.3,Month-to-month,420.45
9,19.7,Month-to-month,180.7
32,74.4,Month-to-month,2276.95
72,84.5,Two year,6130.85
7,49.65,Two year,305.55
18,58.4,Month-to-month,964.9
48,105.1,Month-to-month,5083.55
71,96.35,Two year,6766.95
1,70.05,Month-to-month,70.05
69,105.2,One year,7386.05
60,20.5,Two year,1198.8
1,25.05,Month-to-month,25.05
1,49.0,Month-to-month,49.0
38,91.7,Month-to-month,3479.05
4,20.05,Month-to-month,83.3
31,99.45,Two year,3109.9
14,78.85,Month-to-month,1043.8
71,109.7,Two year,7904.25
2,80.95,Month-to-month,171.15
64,93.4,Two year,5822.3
9,80.55,Month-to-month,653.9
56,105.6,One year,6068.65
11,94.2,Month-to-month,999.9
72,19.4,Two year,1363.25
1,19.65,Month-to-month,19.65
60,109.45,Month-to-month,6572.85
33,50.0,Month-to-month,1750.85
72,19.95,Two year,1322.85
26,87.15,One year,2274.1
3,85.8,Month-to-month,272.2
22,39.2,Month-to-month,849.9
22,63.55,Month-to-month,1381.8
1,53.55,Month-to-month,53.55
27,54.75,Month-to-month,1510.3
1,69.7,Month-to-month,69.7
41,106.3,Month-to-month,4443.45
14,74.3,Month-to-month,1096.25
7,69.35,Month-to-month,451.1
32,54.2,Month-to-month,1739.6
41,68.5,One year,2839.95
4,46.0,Month-to-month,181.6
56,25.95,Two year,1444.05
33,110.45,Month-to-month,3655.45
2,66.4,Month-to-month,94.55
28,105.7,Month-to-month,2979.5
1,54.5,Month-to-month,54.5
1,18.8,One year,18.8
2,70.0,Month-to-month,153.05
4,74.4,Month-to-month,306.6
34,105.35,Month-to-month,3540.65
64,58.35,One year,3756.45
7,18.95,Month-to-month,130.55
51,84.2,One year,4299.75
21,20.35,One year,422.7
21,71.05,Two year,1524.85
57,90.65,One year,5199.8
6,75.5,Month-to-month,438.0
8,49.4,Month-to-month,408.25
18,25.55,Month-to-month,467.85
7,70.1,Month-to-month,467.55
35,59.6,Month-to-month,2094.9
32,74.75,One year,2282.95
30,100.45,Month-to-month,3096.9
26,50.35,One year,1285.8
38,95.1,Month-to-month,3691.2
41,113.2,Month-to-month,4689.5
34,44.85,Month-to-month,1442.6
55,60.0,One year,3316.1
57,94.0,Month-to-month,5438.95
66,104.6,One year,6819.45
43,86.1,Month-to-month,3551.65
32,76.3,Month-to-month,2404.15
1,20.25,Month-to-month,20.25
40,80.75,One year,3208.65
41,98.05,Month-to-month,3990.6
30,90.5,Month-to-month,2595.85
3,80.1,Month-to-month,217.55
54,104.1,Month-to-month,5645.8
9,94.85,Month-to-month,890.6
7,75.4,Month-to-month,533.05
58,100.35,One year,5681.1
52,89.45,Two year,4577.75
26,39.95,One year,1023.75
34,20.35,Month-to-month,673.2
53,80.6,Month-to-month,4348.1
15,87.75,Month-to-month,1242.2
1,19.45,Month-to-month,19.45
5,55.8,Month-to-month,300.4
34,105.35,Month-to-month,3688.6
32,101.35,Month-to-month,3334.9
41,35.4,One year,1412.4
25,54.2,One year,1423.15
17,62.1,One year,1096.65
17,24.8,Month-to-month,475.25
70,84.7,Two year,5991.05
43,19.2,One year,776.25
71,24.35,Two year,1654.6
2,24.45,Month-to-month,47.5
49,74.6,Month-to-month,3720.35
72,105.0,One year,7578.05
26,84.3,Month-to-month,2281.6
18,20.1,One year,407.05
1,93.3,Month-to-month,93.3
9,24.1,One year,259.8
28,76.55,Month-to-month,2065.4
60,19.25,Two year,1103.25
23,20.85,Month-to-month,473.9
15,79.75,Month-to-month,1111.85
29,67.45,Month-to-month,1801.1
56,19.8,Two year,1119.9
11,54.6,One year,617.85
27,69.35,One year,1927.3
1,70.0,Month-to-month,70.0
66,90.55,One year,6130.95
2,56.55,Month-to-month,118.25
