tenure,MonthlyCharges,Contract,TotalCharges,Churn
47,78.9,One year,3650.35,No
31,79.2,Two year,2497.2,No
50,20.15,Two year,930.9,No
10,79.85,Month-to-month,887.35,No
1,49.05,Month-to-month,49.05,No
52,20.4,One year,1090.65,No
64,111.6,Two year,7099.0,No
62,24.25,Two year,1424.6,No
3,64.5,Month-to-month,177.4,No
56,110.5,One year,6139.5,No
46,55.65,One year,2688.85,No
8,54.65,Month-to-month,482.25,No
30,74.75,Month-to-month,2111.3,No
45,25.9,One year,1216.6,No
1,79.35,Month-to-month,79.35,Yes
11,50.55,Month-to-month,565.35,No
7,75.15,Month-to-month,496.9,Yes
42,103.8,Month-to-month,4327.5,No
49,20.15,Two year,973.35,No
9,99.3,Month-to-month,918.75,No
35,62.15,One year,2215.45,No
48,20.65,Two year,1057.0,No
46,19.95,Two year,927.1,No
29,33.75,Month-to-month,1009.25,No
30,82.05,Month-to-month,2570.2,No
1,74.7,Month-to-month,74.7,No
66,84.0,Two year,5714.25,No
65,111.05,Month-to-month,7107.0,No
72,100.9,Two year,7459.05,No
12,78.95,Month-to-month,927.35,Yes
71,66.85,One year,4748.7,No
5,21.05,Month-to-month,113.85,Yes
52,21.0,Two year,1107.2,No
25,98.5,Month-to-month,2514.5,Yes
1,20.2,Month-to-month,20.2,No
1,19.45,Month-to-month,19.45,No
38,95.0,One year,3605.6,No
66,45.55,One year,3027.25,No
68,110.0,Two year,7611.85,Yes
5,24.3,Month-to-month,100.2,No
72,104.15,One year,7303.05,No
32,30.15,One year,927.65,No
43,94.35,One year,3921.3,No
72,19.4,Two year,1363.25,No
55,96.75,Month-to-month,5238.9,Yes
52,57.95,One year,3042.25,No
43,91.65,Month-to-month,3954.1,No
37,76.5,Month-to-month,2868.15,Yes
64,54.6,Two year,3423.5,No
3,89.85,Month-to-month,248.4,No
36,31.05,Two year,1126.35,No
10,100.25,Month-to-month,1064.65,Yes
41,20.65,Two year,835.15,No
27,85.2,Month-to-month,2151.6,No
56,99.8,One year,5515.45,No
6,20.7,Month-to-month,112.75,No
3,74.4,Month-to-month,229.55,Yes
7,50.7,Month-to-month,350.35,No
4,20.85,Month-to-month,62.9,No
33,88.95,Two year,3027.65,No
27,78.05,Month-to-month,2135.5,Yes
72,23.55,Two year,1723.95,No
1,19.75,Month-to-month,19.75,No
71,56.45,One year,3985.35,No
13,85.95,Month-to-month,1215.65,No
25,58.6,Month-to-month,1502.65,Yes
67,50.55,Two year,3260.1,No
1,35.45,Month-to-month,35.45,Yes
2,44.35,Month-to-month,81.25,Yes
43,25.7,Two year,1188.2,No
23,75.0,Month-to-month,1778.5,No
64,20.2,Two year,1277.75,No
57,19.6,Two year,1170.55,No
1,70.45,Month-to-month,70.45,Yes
72,88.05,Two year,6425.65,No
8,71.15,Month-to-month,563.65,Yes
61,101.05,Two year,5971.25,No
64,84.3,One year,5289.05,No
71,23.95,Two year,1756.2,No
65,99.05,Two year,6416.7,No
3,19.6,One year,61.35,No
1,45.65,Month-to-month,45.65,Yes
30,64.5,One year,1929.95,No
15,69.5,Month-to-month,1071.4,No
8,68.55,Month-to-month,564.35,No
7,95.0,Month-to-month,655.5,Yes
70,108.15,One year,7930.55,No
62,86.1,Two year,5215.25,No
6,19.7,Month-to-month,113.5,No
14,80.9,Month-to-month,1152.8,No
22,84.15,Month-to-month,1821.95,No
22,20.15,One year,419.9,No
16,64.25,Two year,1024.0,No
10,25.7,Two year,251.6,No
13,56.0,Month-to-month,764.55,No
20,82.4,Month-to-month,1592.35,Yes
2,69.7,Month-to-month,135.2,No
53,73.9,Two year,3958.25,No
11,20.6,One year,233.9,No
69,19.9,Two year,1363.45,No
4,70.9,Month-to-month,273.0,Yes
72,89.05,Two year,6254.45,No
58,45.3,Month-to-month,2651.2,Yes
16,20.4,Month-to-month,321.4,No
43,84.25,One year,3539.25,No
2,104.4,Month-to-month,242.8,Yes
14,81.95,Two year,1181.75,No
53,94.85,One year,5000.2,Yes
32,20.55,One year,654.55,No
34,24.7,Month-to-month,780.2,No
15,74.45,Month-to-month,1145.7,Yes
7,76.45,Month-to-month,503.6,Yes
15,105.35,Month-to-month,1559.25,No
61,20.55,One year,1252.0,No
1,29.95,Month-to-month,29.95,Yes
1,45.3,Month-to-month,45.3,No
8,84.5,Month-to-month,662.65,Yes
33,74.75,One year,2453.3,No
13,79.25,Month-to-month,1111.65,Yes
1,24.8,Month-to-month,24.8,Yes
20,51.8,Month-to-month,1023.85,No
3,30.4,Month-to-month,82.15,No
13,19.65,One year,244.8,No
40,56.6,Month-to-month,2379.1,No
43,71.9,One year,3173.35,No
6,91.0,Month-to-month,531.0,Yes
69,19.75,Two year,1375.4,No
72,109.7,Two year,8129.3,No
59,19.3,Two year,1192.7,No
20,96.55,Month-to-month,1901.65,No
24,24.1,Two year,587.4,No
59,111.35,Month-to-month,6519.75,No
72,112.25,Two year,8041.65,No
1,20.75,Month-to-month,20.75,No
27,101.9,One year,2681.15,No
14,80.05,Month-to-month,1112.3,No
71,105.55,Two year,7405.5,No
13,78.3,Month-to-month,1033.95,No
44,68.85,Month-to-month,2958.95,No
33,79.95,One year,2684.85,No
72,55.45,Two year,4179.2,No
1,79.9,Month-to-month,79.9,Yes
19,106.6,Month-to-month,1934.45,Yes
64,102.45,One year,6654.1,No
2,46.0,Month-to-month,84.5,Yes
1,25.25,Month-to-month,25.25,No
61,19.75,Two year,1124.2,No
29,20.0,One year,540.05,No
23,86.8,Month-to-month,1975.85,No
57,58.75,Month-to-month,3437.45,No
72,45.25,Two year,3139.8,No
66,56.6,Two year,3789.2,No
65,84.2,Two year,5324.5,No
8,80.0,Month-to-month,624.6,No
4,70.15,Month-to-month,268.35,Yes
71,24.75,Two year,1836.9,No
1,20.2,One year,20.2,No
4,50.05,Month-to-month,179.35,Yes
12,19.35,One year,219.35,No
24,50.6,One year,1288.75,No
31,81.15,One year,2545.75,No
1,55.2,Month-to-month,55.2,Yes
30,89.9,Month-to-month,2723.15,No
47,85.3,Two year,4107.25,No
54,108.0,Two year,5760.65,No
50,93.5,Month-to-month,4747.5,No
1,84.6,Month-to-month,84.6,Yes
72,20.25,Two year,1566.9,No
29,25.15,Month-to-month,702.0,No
2,54.4,Month-to-month,114.1,Yes
10,29.6,Two year,299.05,No
18,73.15,Month-to-month,1305.95,No
11,95.0,Month-to-month,1120.3,Yes
16,19.75,Two year,284.35,No
72,86.6,Two year,6350.5,No
72,109.2,Two year,7878.3,No
41,74.7,One year,3187.65,No
65,94.4,Month-to-month,6126.15,No
13,54.8,Month-to-month,731.3,No
4,75.35,Month-to-month,273.4,No
41,65.0,One year,2531.8,No
15,74.4,Month-to-month,1074.3,Yes
1,48.55,Month-to-month,48.55,Yes
42,99.0,One year,4298.45,No
51,93.5,One year,4619.55,No
2,70.4,Month-to-month,147.15,Yes
1,40.2,Month-to-month,40.2,Yes
32,83.7,One year,2633.3,No
10,19.85,Month-to-month,193.05,No
67,59.55,Two year,4103.9,No
61,115.1,Two year,7008.15,No
50,114.35,One year,5791.1,No
2,44.6,Month-to-month,80.55,Yes
29,45.0,Month-to-month,1228.65,No
3,41.15,Month-to-month,132.2,Yes
13,106.9,Month-to-month,1364.3,Yes
57,89.85,Month-to-month,4925.35,No
31,49.85,Two year,1520.1,No
45,113.3,One year,5032.25,No
61,88.1,Two year,5526.75,No
50,24.9,Two year,1195.25,No
19,105.0,Month-to-month,2007.25,No
59,19.35,Two year,1099.6,Yes
71,24.25,Two year,1732.95,No
16,94.45,Month-to-month,1511.2,Yes
57,59.75,Two year,3450.15,No
1,24.8,Month-to-month,24.8,Yes
20,107.05,Month-to-month,2172.05,No
1,70.6,Month-to-month,70.6,Yes
5,85.4,Month-to-month,401.1,Yes
52,105.05,Month-to-month,5624.85,Yes
21,64.95,Month-to-month,1339.8,No
14,55.0,Month-to-month,771.95,No
5,50.55,Month-to-month,244.75,No
6,55.15,Month-to-month,322.9,No
10,51.2,Month-to-month,498.25,No
1,25.4,Month-to-month,25.4,No
68,54.45,Month-to-month,3687.75,No
18,95.15,Month-to-month,1779.95,Yes
22,76.0,One year,1783.6,No
20,44.35,Month-to-month,927.15,No
1,70.0,Month-to-month,70.0,Yes
8,74.5,Month-to-month,606.55,Yes
10,44.85,Month-to-month,435.4,Yes
24,76.1,Month-to-month,1712.7,Yes
35,61.2,One year,2021.2,No
23,86.8,One year,1940.8,No
6,89.35,Month-to-month,567.8,No
12,19.7,Month-to-month,220.35,No
1,20.25,Month-to-month,20.25,No
71,76.05,Two year,5436.45,No
35,100.8,Month-to-month,3437.5,No
40,74.55,Month-to-month,3015.75,No
1,73.6,Month-to-month,73.6,Yes
23,64.9,One year,1509.8,No
4,95.45,Month-to-month,396.1,Yes
4,90.4,Month-to-month,356.65,No
68,60.3,Two year,4109.0,No
38,81.85,Month-to-month,3141.7,No
52,24.8,Two year,1229.1,No
32,74.9,Month-to-month,2303.35,Yes
29,75.55,Two year,2054.4,No
38,101.15,Month-to-month,3741.85,No
48,78.75,One year,3682.45,No
1,19.25,Month-to-month,19.25,No
22,89.05,Month-to-month,1886.25,No
43,115.05,Two year,4895.1,No
5,69.35,Month-to-month,341.6,No
5,80.6,Month-to-month,415.55,Yes
51,110.05,One year,5686.4,No
71,19.9,Two year,1355.1,No
38,80.3,One year,3058.65,Yes
24,93.15,Month-to-month,2231.05,Yes
35,91.5,Month-to-month,3236.35,No
54,82.45,One year,4350.1,Yes
72,60.0,Two year,4264.0,No
1,44.8,Month-to-month,44.8,No
9,48.6,One year,422.3,No
69,60.05,Two year,4176.7,No
52,102.7,Month-to-month,5138.1,No
11,82.9,Month-to-month,880.05,No
2,70.35,Month-to-month,139.05,Yes
28,35.9,Month-to-month,973.65,No
17,82.65,Month-to-month,1470.05,No
35,19.85,Two year,739.35,No
8,19.2,One year,161.95,No
46,94.9,One year,4422.95,No
7,73.85,Month-to-month,511.25,Yes
2,80.6,Month-to-month,155.8,Yes
68,75.8,One year,5293.95,Yes
43,104.6,Two year,4759.85,Yes
68,88.15,Two year,6148.45,No
36,94.8,Month-to-month,3565.65,No
63,103.4,Month-to-month,6603.0,Yes
32,54.65,Month-to-month,1830.1,No
71,85.75,Two year,6223.8,No
66,67.45,Month-to-month,4508.65,No
63,20.5,One year,1328.15,No
41,20.25,One year,865.0,No
1,72.1,Month-to-month,72.1,No
2,90.4,Month-to-month,168.2,Yes
70,19.45,Two year,1303.5,No
23,44.95,Month-to-month,996.85,No
64,97.0,One year,6430.9,No
37,62.8,Two year,2278.75,No
17,44.6,One year,681.4,No
7,89.15,Month-to-month,574.35,No
4,84.8,Month-to-month,371.9,Yes
21,41.9,Month-to-month,840.1,Yes
10,80.25,Month-to-month,846.0,Yes
16,54.1,Month-to-month,889.0,No
64,105.25,Two year,6823.4,No
27,30.75,Month-to-month,805.1,Yes
42,97.1,One year,4016.75,No
5,20.2,Month-to-month,83.75,No
41,98.8,Two year,3959.15,No
58,50.3,One year,2878.55,No
47,20.55,Two year,945.7,No
18,75.9,Month-to-month,1373.05,No
5,96.5,Month-to-month,492.55,Yes
23,59.95,Month-to-month,1406.0,No
1,19.15,Month-to-month,19.15,No
71,98.65,One year,6962.85,No
72,112.6,Two year,8126.65,No
33,20.6,One year,690.25,No
2,85.65,Month-to-month,181.5,Yes
24,35.75,Two year,830.8,No
56,99.75,One year,5608.4,No
37,96.1,Month-to-month,3646.8,No
43,85.1,One year,3662.25,No
1,25.35,Month-to-month,25.35,No
25,104.95,Month-to-month,2566.5,Yes
61,89.65,Two year,5308.7,No
17,86.75,One year,1410.25,No
41,86.2,One year,3339.05,No
1,50.65,Month-to-month,50.65,Yes
72,64.8,Two year,4732.35,No
1,90.85,Month-to-month,90.85,Yes
48,108.1,Two year,5067.45,No
11,19.95,Month-to-month,214.75,Yes
55,85.45,Month-to-month,4874.7,Yes
42,54.75,One year,2348.45,No
44,90.4,Month-to-month,4063.0,No
1,44.0,Month-to-month,44.0,No
27,95.6,Month-to-month,2595.25,No
27,84.8,Month-to-month,2309.55,No
2,44.3,Month-to-month,89.3,No
19,19.9,Month-to-month,367.55,No
42,95.05,Month-to-month,3944.5,No
66,90.05,Two year,5965.95,No
33,109.9,Month-to-month,3694.7,No
34,73.95,Month-to-month,2524.45,Yes
33,54.6,Month-to-month,1803.7,No
23,20.05,One year,415.1,No
32,19.75,One year,624.15,No
11,20.05,One year,237.7,No
69,99.45,Month-to-month,7007.6,Yes
68,55.9,One year,3848.8,No
20,19.7,Two year,419.4,No
72,19.8,Two year,1468.75,No
60,95.4,One year,5812.0,No
32,93.95,Month-to-month,2861.45,No
1,19.9,Month-to-month,19.9,Yes
1,19.6,Month-to-month,19.6,Yes
3,81.35,Month-to-month,233.7,Yes
46,24.45,One year,1066.15,No
29,74.95,Month-to-month,2149.05,No
51,87.35,Month-to-month,4473.0,No
48,70.65,Month-to-month,3545.05,No
16,73.25,Month-to-month,1195.75,No
70,98.7,Two year,6858.9,No
40,24.8,Two year,1024.7,No
22,83.3,Month-to-month,1845.9,Yes
1,75.3,Month-to-month,75.3,Yes
5,24.3,Month-to-month,132.25,No
7,69.85,Month-to-month,515.45,No
29,100.55,One year,2830.45,No
44,25.7,One year,1110.5,No
10,40.7,Month-to-month,449.3,No
55,51.65,Month-to-month,2838.55,No
52,105.1,One year,5376.4,No
10,85.95,Month-to-month,858.6,No
18,75.6,Month-to-month,1395.05,No
68,58.25,One year,3975.7,No
61,19.4,Month-to-month,1182.55,Yes
72,65.2,Two year,4784.45,No
2,53.45,Month-to-month,119.5,No
12,45.4,Month-to-month,518.9,Yes
41,19.75,Two year,899.45,No
26,44.45,Month-to-month,1183.8,No
36,20.85,One year,720.05,No
72,114.05,Two year,8468.2,No
35,89.85,Month-to-month,3161.2,No
1,55.05,Month-to-month,55.05,No
16,112.95,Month-to-month,1882.55,No
49,101.55,Month-to-month,5070.4,No
54,114.65,One year,6049.5,No
18,64.8,Month-to-month,1166.7,No
36,80.4,Month-to-month,2937.65,No
60,105.9,Month-to-month,6396.45,Yes
1,69.55,Month-to-month,69.55,Yes
52,25.05,Two year,1270.25,No
8,94.75,Month-to-month,759.55,No
72,105.5,Two year,7611.55,No
64,24.7,One year,1642.75,No
22,69.75,Month-to-month,1545.4,No
60,60.2,Month-to-month,3582.4,No
28,81.05,Month-to-month,2227.1,Yes
61,24.4,Two year,1417.9,No
24,104.15,Month-to-month,2494.65,No
28,92.9,One year,2768.35,No
30,80.8,Two year,2369.3,No
2,20.0,Month-to-month,38.0,No
1,75.1,Month-to-month,75.1,No
6,19.65,Month-to-month,100.9,No
24,69.45,Month-to-month,1614.05,No
4,101.15,Month-to-month,385.9,Yes
7,99.8,Month-to-month,673.25,Yes
72,116.05,Two year,8404.9,No
70,40.05,Two year,2799.75,No
64,102.1,Two year,6538.45,No
72,89.7,One year,6588.95,No
44,19.9,Two year,868.1,No
13,55.95,Month-to-month,734.35,Yes
17,20.65,One year,330.6,No
1,55.0,Month-to-month,55.0,Yes
9,70.05,Month-to-month,564.4,No
24,53.6,Month-to-month,1315.35,No
1,74.7,Month-to-month,74.7,Yes
24,80.25,Month-to-month,1861.5,Yes
35,76.05,Month-to-month,2747.2,No
7,75.7,Month-to-month,554.05,No
5,96.1,Month-to-month,453.4,Yes
15,69.0,Month-to-month,994.8,Yes
11,19.65,Two year,225.75,No
48,45.3,Month-to-month,2145.0,Yes
20,81.45,Month-to-month,1671.6,No
72,108.5,One year,8003.8,No
8,83.55,Month-to-month,680.05,Yes
72,84.5,Two year,6130.85,No
15,100.15,Month-to-month,1415.0,No
72,88.6,Two year,6201.95,No
0,52.55,Two year,0.0,No
1,74.35,Month-to-month,74.35,Yes
63,104.8,Two year,6597.25,No
2,59.0,Month-to-month,114.15,No
2,74.4,Month-to-month,139.4,Yes
61,64.05,One year,3902.6,No
1,20.4,Month-to-month,20.4,No
22,43.75,One year,903.6,Yes
28,60.9,Month-to-month,1785.65,No
70,19.8,Two year,1397.65,No
5,28.45,Month-to-month,131.05,Yes
12,99.7,Month-to-month,1238.45,Yes
34,116.25,One year,3899.05,No
71,80.7,Two year,5676.0,No
70,65.2,One year,4543.15,No
52,84.05,Month-to-month,4326.8,No
69,79.45,Two year,5502.55,No
20,94.1,Month-to-month,1782.4,Yes
11,78.0,Month-to-month,851.8,No
2,94.2,Month-to-month,167.5,Yes
6,80.5,Month-to-month,502.85,Yes
1,19.85,Month-to-month,19.85,No
20,94.3,One year,1818.3,No
61,106.45,Month-to-month,6300.15,No
5,74.35,Month-to-month,334.8,Yes
56,105.45,Month-to-month,5916.95,No
30,95.0,Month-to-month,2852.4,No
40,104.8,Month-to-month,4131.95,Yes
28,54.3,One year,1546.3,No
5,70.05,Month-to-month,302.6,No
27,75.2,Month-to-month,1929.35,Yes
12,20.05,Month-to-month,265.45,No
67,105.4,One year,6989.45,No
29,51.6,Month-to-month,1442.0,No
55,85.5,Month-to-month,4713.4,No
23,75.6,Month-to-month,1758.6,Yes
34,100.05,Month-to-month,3480.0,Yes
52,91.25,One year,4738.3,No
72,115.75,Two year,8399.15,No
58,94.7,One year,5430.35,No
35,19.6,Two year,686.95,No
56,99.9,Two year,5706.3,No
24,21.1,Two year,490.65,No
70,20.05,Two year,1360.25,No
2,79.95,Month-to-month,174.45,No
68,107.15,One year,7379.8,No
1,85.0,Month-to-month,85.0,Yes
12,89.55,Month-to-month,1021.75,No
63,81.55,Month-to-month,5029.05,No
33,58.45,One year,1955.4,No
69,95.65,One year,6744.2,No
60,80.6,Two year,4946.7,No
72,113.1,Two year,8248.5,No
11,58.95,Month-to-month,601.6,No
1,19.55,Month-to-month,19.55,No
10,86.05,Month-to-month,834.1,Yes
13,45.55,Month-to-month,597.0,Yes
34,78.95,One year,2647.2,No
39,86.3,Month-to-month,3266.0,Yes
65,105.05,One year,6744.25,No
50,101.9,One year,5265.5,No
15,19.75,Month-to-month,311.6,No
72,110.3,Two year,7966.9,No
72,115.6,Two year,8220.4,No
55,19.35,Two year,1153.25,No
23,25.6,Two year,514.75,No
32,80.35,Month-to-month,2596.15,Yes
56,68.75,One year,3808.0,No
1,19.9,Month-to-month,19.9,No
38,70.6,One year,2708.2,No
11,70.2,Month-to-month,760.05,No
1,49.3,Month-to-month,49.3,No
56,107.25,One year,6033.3,No
3,23.6,Month-to-month,89.05,No
7,69.7,Month-to-month,516.15,No
59,99.5,Two year,5861.75,No
7,64.3,Month-to-month,445.95,No
71,70.85,Two year,4973.4,No
15,101.9,One year,1667.25,No
71,73.5,Two year,5357.75,No
35,100.25,Month-to-month,3527.6,Yes
11,40.4,One year,422.6,No
60,19.25,Two year,1103.25,No
47,59.6,Two year,2754.0,No
11,64.9,One year,697.25,No
56,100.3,One year,5614.45,Yes
28,110.85,Month-to-month,3204.4,No
61,81.05,Two year,4747.65,No
31,98.05,One year,3082.1,No
9,70.5,Month-to-month,597.9,No
35,94.55,Month-to-month,3365.4,No
2,19.65,Month-to-month,38.8,No
12,19.0,Month-to-month,233.55,Yes
1,75.3,Month-to-month,75.3,Yes
4,89.2,Month-to-month,346.2,Yes
1,19.0,Month-to-month,19.0,No
3,20.0,Month-to-month,61.7,No
1,85.7,Month-to-month,85.7,Yes
52,63.25,Two year,3342.45,No
5,20.1,One year,85.1,No
72,99.15,Two year,7422.1,No
71,90.4,Two year,6668.05,No
72,111.9,Two year,8071.05,No
46,24.9,One year,1174.8,No
63,83.5,Two year,5435.0,No
30,84.3,Month-to-month,2438.6,No
1,45.6,Month-to-month,45.6,No
12,61.65,Month-to-month,713.75,Yes
16,54.85,Two year,916.15,No
4,65.55,Month-to-month,237.2,No
51,90.35,One year,4614.55,No
65,20.4,Two year,1414.45,No
16,74.55,Month-to-month,1170.5,No
2,19.95,One year,47.7,No
66,74.25,One year,4859.25,No
46,108.65,Two year,4903.2,No
32,109.55,One year,3608.0,No
72,86.65,Two year,6094.25,No
38,81.0,Two year,3084.9,No
51,47.85,One year,2356.75,No
72,114.55,Two year,8306.05,No
65,105.25,Month-to-month,6786.4,Yes
9,29.95,Month-to-month,248.95,Yes
9,65.0,Month-to-month,663.05,Yes
66,20.55,Two year,1357.1,No
44,109.8,One year,4860.35,No
50,69.5,Two year,3418.2,No
15,48.85,Month-to-month,631.4,No
8,25.25,Month-to-month,186.3,No
66,102.85,One year,6976.75,No
57,87.55,Month-to-month,4884.85,No
7,78.55,Month-to-month,522.95,No
10,34.55,Month-to-month,362.6,No
62,92.05,One year,5755.8,No
40,85.05,One year,3355.65,No
20,19.7,Two year,406.95,No
7,20.0,Month-to-month,137.6,Yes
25,95.15,Month-to-month,2395.7,No
23,84.25,Month-to-month,1968.1,No
66,104.6,One year,6819.45,No
72,111.65,Two year,7943.45,No
49,90.05,Month-to-month,4547.25,Yes
43,110.75,Month-to-month,4687.9,Yes
46,55.0,Month-to-month,2473.95,No
72,89.85,Two year,6562.9,No
10,20.35,One year,176.3,No
40,54.55,One year,2236.2,No
65,105.5,Month-to-month,6985.65,Yes
31,99.45,Two year,3109.9,No
68,70.9,Two year,4911.35,No
56,104.55,One year,5794.65,Yes
10,85.25,Month-to-month,855.3,Yes
68,25.4,Two year,1620.2,No
43,56.15,Month-to-month,2499.3,Yes
1,89.55,Month-to-month,89.55,Yes
49,89.85,One year,4287.2,No
15,25.25,Month-to-month,394.85,No
20,94.55,Month-to-month,1899.65,Yes
1,45.7,Month-to-month,45.7,Yes
50,69.65,One year,3442.15,No
2,89.5,Month-to-month,161.5,Yes
24,70.0,Month-to-month,1732.6,No
3,69.55,Month-to-month,222.3,Yes
1,74.6,Month-to-month,74.6,Yes
35,20.1,Two year,655.3,No
17,24.8,Month-to-month,475.25,No
8,19.65,Month-to-month,164.3,Yes
10,95.1,Month-to-month,865.1,No
68,88.85,Two year,6132.7,No
45,78.8,One year,3597.5,No
2,19.85,One year,35.9,Yes
37,20.35,Month-to-month,697.65,No
4,24.25,Month-to-month,96.05,Yes
10,45.25,Month-to-month,428.7,No
1,20.05,Month-to-month,20.05,No
65,69.55,Two year,4459.15,No
57,19.5,Two year,1167.6,No
3,74.75,Month-to-month,238.1,No
2,69.65,Month-to-month,145.15,Yes
49,30.2,Month-to-month,1453.1,No
4,45.65,Month-to-month,191.05,Yes
70,57.8,Two year,4039.3,No
53,19.85,One year,1039.45,No
53,25.55,Two year,1336.1,No
1,75.05,Month-to-month,75.05,Yes
22,24.85,Month-to-month,493.4,No
52,49.15,Month-to-month,2550.9,Yes
65,110.35,Two year,7246.15,No
48,24.55,One year,1203.95,No
2,34.7,Month-to-month,62.25,Yes
3,107.95,Month-to-month,313.6,No
45,81.4,Month-to-month,3775.85,No
1,80.0,Month-to-month,80.0,Yes
61,73.8,Two year,4616.05,No
3,64.4,Month-to-month,195.65,No
40,103.75,One year,4188.4,No
1,71.1,Month-to-month,71.1,No
1,49.9,Month-to-month,49.9,No
51,24.6,One year,1266.4,No
2,49.25,Month-to-month,91.1,Yes
52,30.1,One year,1623.4,No
51,83.4,Month-to-month,4149.45,No
1,20.45,Month-to-month,20.45,No
31,75.25,One year,2344.5,No
47,20.55,One year,1013.05,No
3,75.1,Month-to-month,270.7,Yes
22,20.05,One year,417.0,No
1,20.65,Month-to-month,20.65,No
72,85.15,Two year,6316.2,No
3,50.15,Month-to-month,168.15,Yes
47,84.95,One year,4018.05,No
72,66.5,Two year,4811.6,No
66,63.3,Two year,4189.7,No
35,83.15,Month-to-month,2848.45,No
29,84.9,Month-to-month,2516.2,No
2,20.55,Month-to-month,33.6,No
4,49.25,Month-to-month,208.45,No
25,79.85,Month-to-month,2015.35,Yes
65,59.6,Two year,3739.8,No
27,104.65,One year,2964.0,No
29,75.3,Month-to-month,2263.4,No
29,80.1,Month-to-month,2211.8,No
1,19.55,Month-to-month,19.55,Yes
20,81.0,Month-to-month,1683.7,No
58,24.7,Two year,1519.0,No
14,86.0,Month-to-month,1164.05,No
72,25.4,Two year,1710.9,No
46,89.15,Month-to-month,4245.55,No
71,58.25,Two year,4145.9,No
32,85.65,Month-to-month,2664.3,No
26,50.35,Month-to-month,1277.5,No
68,80.35,Month-to-month,5589.3,No
2,20.2,One year,34.75,No
61,20.55,Two year,1305.95,No
4,85.95,Month-to-month,381.3,Yes
3,45.35,Month-to-month,141.5,Yes
33,94.5,Month-to-month,3105.55,Yes
9,21.25,Month-to-month,204.55,No
22,26.25,Two year,605.9,No
5,80.85,Month-to-month,356.1,No
30,91.7,Month-to-month,2758.15,Yes
65,74.2,Two year,4805.65,No
45,87.25,Month-to-month,3941.7,Yes
5,20.35,Month-to-month,92.75,No
25,75.5,Month-to-month,1901.05,No
72,79.05,Two year,5730.7,No
27,90.15,Month-to-month,2423.4,No
32,50.6,Month-to-month,1653.45,No
30,110.45,One year,3327.05,No
70,101.0,Two year,7085.5,No
42,79.35,Month-to-month,3344.1,No
72,89.85,Two year,6697.35,No
47,65.0,Two year,2879.9,No
2,80.45,Month-to-month,137.1,No
10,98.55,Month-to-month,1008.55,Yes
61,24.1,Two year,1551.6,No
5,44.05,Month-to-month,202.15,No
72,110.8,Two year,7882.25,No
72,114.95,Two year,8196.4,No
3,75.05,Month-to-month,202.9,No
48,19.25,Two year,855.1,No
63,90.05,One year,5817.0,No
27,56.7,Month-to-month,1652.95,No
